"left","right"
"the Trace can't detect","Imagine if something went wrong, and"
"the Trace can't detect","we ended up a scrawny, specky git forever."
"MOODY","Everyone here is of age, Potter."
"MOODY","They've all agreed to take the risk."
"MOODY","[MUNDUNGUS CLEARS THROAT]"
"MOODY","Technically, I've been coerced."
"MOODY","Mundungus Fletcher, Mr. Potter."
"MOODY","- Always been a huge admirer."
"MOODY","- Nip it, Mundungus."
"MOODY","All right, Granger, as discussed."
"MOODY","- Blimey, Hermione."
"MOODY","For those of you who haven't taken"
"Polyjuice Potion before, fair warning","It tastes like goblin piss."
"Polyjuice Potion before, fair warning","Have a lot of experiences with that,"
"Polyjuice Potion before, fair warning","do you, Mad-Eye?"
"Polyjuice Potion before, fair warning","Just trying to diffuse the tension."
"Polyjuice Potion before, fair warning","Oh."
"Polyjuice Potion before, fair warning","Ugh."
"Polyjuice Potion before, fair warning","[ALL GRUNTING]"
"BOTH","Wow, we're identical."
"MOODY","Not yet, you're not."
"MOODY","a bit more sporting, have you?"
"FRED","I don't really fancy this color."
"FRED","So shut it and strip."
"MUNDUNGUS","All right, all right."
"MUNDUNGUS","You'll need to change too, Potter."
"FLEUR","Bill, look away. I'm hideous."
"RON","I knew she was lying about that tattoo."
"HERMIONE","Harry, your eyesight really is awful."
"HERMIONE","Right, then. We'll be pairing off."
"HERMIONE","Each Potter will have a protector."
"HERMIONE","Mundungus, stick tight to me."
"HERMIONE","I wanna keep an eye on you."
"HERMIONE","- As for Harry--"
"HERMIONE","The real Harry."
"HERMIONE","- Where the devil are you, anyway?"
"HERMIONE","- Here."
"MOODY","You'll ride with Hagrid."
"MOODY","I brought you here 16 years ago when"
"MOODY","you were no bigger than a Bowtruckle."
"MOODY","Seems only right that I should be"
"MOODY","the one to take you away now."
"MOODY","Yes, it's all very touching. Let's go."
"MOODY","[HEDWIG SCREECHING]"
"MOODY","We'll rendezvous there."
"MOODY","On the count of three."
"MOODY","Hold tight, Harry."
"MOODY","One..."
"MOODY","...two..."
"MOODY","...three!"
"MOODY","He's on your right!"
"MOODY","He's over there!"
"DEATH EATER 3","Down!"
"DEATH EATER 3","Hagrid, we have to help the others!"
"DEATH EATER 3","I can't do that, Harry. Mad-Eye's orders."
"DEATH EATER 3","Hang on."
"DEATH EATER 3","Stupefy!"
"DEATH EATER 3","[HORN HONKS]"
"DEATH EATER 3","[GASPS]"
"DEATH EATER 3","Hang on, Harry."
"DEATH EATER 3","[GRUNTS]"
"DEATH EATER 3","Hagrid."
"DEATH EATER 3","[SCREECHING]"
"DEATH EATER 3","[GRUNTS]"
"HARRY","No. No."
"HARRY","[GROANING]"
"VOLDEMORT","Harry."
"VOLDEMORT","[YELLING]"
"VOLDEMORT","[RUMBLING]"
"VOLDEMORT","[GRUNTS]"
"MOLLY","Harry. Hagrid."
"MOLLY","What happened? Where are the others?"
"MOLLY","Is no one else back?"
"MOLLY","the start, Molly. We didn't stand a chance."
"MOLLY","Well, thank goodness"
"MOLLY","you two are all right."
"MOLLY","waiting for us. It was an ambush."
"MOLLY","should've already been back."
"MOLLY","Dad and Fred as well."
"LUPIN","Here!"
"LUPIN","Quick. Into the house."
"LUPIN","Oh, my boy."
"LUPIN","Oh. Oh."
"LUPIN","[BOTH GRUNT]"
