Gryffindor,Hufflepuff,Ravenclaw,Slytherin,Name
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Harry
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Hermione
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Hooch
0.997784674,0.000844925,0.000836325,0.000534097,Movie_Lee
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Mcgonagall
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Neville
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Nick
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Oiiver
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Oliver
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Ollivander
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Percy
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Quirrell
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Ron
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Seamus
0.132369548,0.002182241,0.004929115,0.860519111,Movie_Snake
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Snape
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Voldemort
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Arthur Weasley
0.992656231,0.001060656,0.00123268,0.005050476,Movie_Colin
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Cornelius Fudge
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Crabbe
0.056121156,0.00189702,0.004352469,0.937629342,Movie_Crabbe & Goyle
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Dean Thomas
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Ginny
0.997784674,0.000844925,0.000836325,0.000534097,Movie_Haary
0.000550317,0.998283744,0.000533816,0.000632175,Movie_Justin Finch-Fletchley
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Lee Jordan
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Lucius Malfoy
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Madame Pomfrey
0.009380788,0.002495927,0.003936997,0.984186351,Movie_Marcus Flint
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Moaning Myrtle
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Mrs. Weasley
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Professor Lockhart
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Professor Mcgonagall
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Professor Sprout
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Sir Nicholas
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Tom Riddle
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Arthur
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Amos
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Cedric
0.000822178,0.00032223,0.000350617,0.998504996,Movie_Lucius
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Barty
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Igor
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Mad-Eye
0.000699911,0.000396397,0.000418428,0.998485267,Movie_Severus
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Rita
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Nigel
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Patils
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Parvati
0.005910791,0.000843568,0.991783381,0.001462226,Movie_Padma
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Voldermort
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Myrtle
0.000611465,0.998170018,0.000533755,0.00068474,Movie_Fudge
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Barty Jr
0.080598421,0.005277365,0.007465383,0.906658828,Movie_Alastor
0.995124638,0.001184041,0.003220238,0.000471085,Movie_Ron Weasley
0.99625057,0.000736718,0.000882024,0.002130731,Movie_Hermoine Granger
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Draco Malfoy
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Severus Snape
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Malfoy
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Neville Longbottom
